Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status
INN27216,2,0,2,2,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,145.0,2,10/9/2017,Not_Canceled
INN27217,2,0,2,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,116.0,1,8/7/2018,Not_Canceled
INN27218,1,0,0,1,Not Selected,0,Room_Type 1,12,Online,0,0,0,89.0,0,7/20/2018,Canceled
INN27219,2,0,1,3,Meal Plan 1,0,Room_Type 1,87,Offline,0,0,0,68.5,0,3/24/2018,Not_Canceled
INN27220,2,0,2,0,Meal Plan 1,0,Room_Type 1,5,Corporate,1,1,0,100.0,0,9/20/2017,Not_Canceled
INN27221,2,0,0,2,Meal Plan 2,0,Room_Type 1,63,Offline,0,0,0,116.0,0,9/4/2017,Not_Canceled
INN27222,2,0,0,3,Meal Plan 1,0,Room_Type 4,113,Online,0,0,0,114.9,0,12/27/2018,Canceled
INN27223,2,0,0,1,Meal Plan 1,0,Room_Type 1,180,Offline,0,0,0,70.0,0,10/16/2017,Canceled
INN27224,2,0,0,1,Not Selected,0,Room_Type 1,12,Online,0,0,0,75.0,0,1/15/2018,Not_Canceled
INN27225,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,120.0,0,6/8/2018,Not_Canceled
INN27226,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,Offline,0,0,0,109.0,0,8/14/2017,Not_Canceled
INN27227,3,0,2,4,Meal Plan 1,0,Room_Type 4,65,Online,0,0,0,146.1,4,7/8/2018,Not_Canceled
INN27228,2,0,0,4,Meal Plan 1,0,Room_Type 1,72,Online,0,0,0,78.2,1,3/16/2018,Canceled
INN27229,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,95.0,0,10/13/2018,Not_Canceled
INN27230,1,0,0,2,Meal Plan 1,1,Room_Type 1,0,Corporate,0,0,0,65.0,1,10/5/2018,Not_Canceled
INN27231,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,Offline,0,0,0,115.0,1,6/15/2018,Canceled
INN27232,2,2,1,2,Meal Plan 1,0,Room_Type 6,83,Online,0,0,0,168.3,0,3/25/2018,Canceled
INN27233,2,0,0,4,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,175.0,3,10/12/2018,Not_Canceled
INN27234,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,Corporate,0,0,0,81.0,0,2/19/2018,Not_Canceled
INN27235,2,0,2,5,Meal Plan 1,0,Room_Type 1,72,Online,0,0,0,76.5,1,7/8/2017,Canceled
INN27236,1,0,1,2,Meal Plan 1,0,Room_Type 5,199,Corporate,0,0,0,106.0,0,9/12/2018,Canceled
INN27237,2,0,2,0,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,72.25,0,7/10/2018,Not_Canceled
INN27238,1,0,0,1,Meal Plan 1,1,Room_Type 1,2,Corporate,0,0,0,104.0,0,4/6/2018,Not_Canceled
INN27239,2,0,2,2,Not Selected,0,Room_Type 1,213,Online,0,0,0,92.65,0,10/1/2018,Canceled
INN27240,2,0,1,4,Meal Plan 1,0,Room_Type 1,287,Online,0,0,0,90.95,1,10/19/2018,Not_Canceled
INN27241,1,0,0,1,Meal Plan 1,0,Room_Type 1,16,Corporate,0,0,0,95.0,0,6/16/2018,Not_Canceled
INN27242,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,88.0,0,11/26/2017,Not_Canceled
INN27243,2,0,2,2,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,138.5,2,10/30/2018,Not_Canceled
INN27244,2,0,0,4,Meal Plan 1,0,Room_Type 1,175,Offline,0,0,0,82.28,0,10/4/2018,Canceled
INN27245,1,0,0,1,Not Selected,0,Room_Type 1,15,Online,0,0,0,89.0,1,6/14/2018,Not_Canceled
INN27246,2,0,0,3,Not Selected,0,Room_Type 1,161,Online,0,0,0,60.98,1,3/15/2018,Not_Canceled
INN27247,2,0,2,5,Meal Plan 1,0,Room_Type 1,277,Offline,0,0,0,80.0,0,9/5/2018,Canceled
INN27248,2,0,0,1,Meal Plan 1,0,Room_Type 4,8,Online,0,0,0,184.0,0,9/17/2018,Not_Canceled
INN27249,3,0,1,1,Meal Plan 1,0,Room_Type 1,169,Online,0,0,0,137.7,0,8/22/2018,Canceled
INN27250,2,0,2,1,Meal Plan 1,0,Room_Type 1,56,Online,0,0,0,135.9,0,9/10/2018,Canceled
INN27251,2,0,1,1,Meal Plan 1,0,Room_Type 1,53,Online,0,0,0,114.3,0,7/18/2018,Not_Canceled
INN27252,2,0,1,0,Meal Plan 1,0,Room_Type 1,34,Offline,0,0,0,76.5,0,10/18/2017,Not_Canceled
INN27253,1,0,0,4,Meal Plan 2,1,Room_Type 1,58,Offline,0,0,0,56.6,0,12/23/2017,Not_Canceled
INN27254,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Offline,0,0,0,95.0,0,5/13/2018,Canceled
INN27255,2,0,0,2,Meal Plan 1,0,Room_Type 1,91,Offline,0,0,0,75.0,0,5/10/2018,Canceled
INN27256,2,0,1,3,Meal Plan 1,0,Room_Type 1,250,Offline,0,0,0,95.0,0,9/26/2018,Canceled
INN27257,2,0,0,3,Not Selected,0,Room_Type 1,4,Online,0,0,0,139.33,1,9/30/2017,Not_Canceled
INN27258,3,0,0,2,Meal Plan 1,0,Room_Type 4,29,Online,0,0,0,186.2,3,10/5/2018,Not_Canceled
INN27259,2,0,1,2,Meal Plan 1,0,Room_Type 1,81,Offline,0,0,0,65.0,0,3/25/2018,Not_Canceled
INN27260,2,0,0,3,Not Selected,0,Room_Type 1,155,Online,0,0,0,103.5,0,7/7/2018,Canceled
INN27261,1,0,0,1,Meal Plan 1,0,Room_Type 5,1,Online,0,0,0,188.0,0,9/22/2018,Not_Canceled
INN27262,1,0,1,1,Not Selected,0,Room_Type 1,96,Online,0,0,0,108.0,3,10/3/2018,Not_Canceled
INN27263,2,0,2,1,Meal Plan 1,0,Room_Type 1,282,Offline,0,0,0,76.67,0,10/10/2017,Not_Canceled
INN27264,1,0,1,1,Meal Plan 1,0,Room_Type 1,33,Corporate,0,0,0,59.0,0,1/25/2018,Not_Canceled
INN27265,1,0,1,2,Meal Plan 2,0,Room_Type 1,80,Offline,0,0,0,86.0,0,9/26/2018,Not_Canceled
INN27266,2,0,0,3,Meal Plan 1,0,Room_Type 1,160,Offline,0,0,0,70.0,0,12/30/2017,Not_Canceled
INN27267,2,0,1,1,Meal Plan 1,0,Room_Type 1,167,Offline,0,0,0,72.25,1,7/25/2018,Not_Canceled
INN27268,2,0,1,4,Meal Plan 1,0,Room_Type 1,53,Online,0,0,0,88.4,1,11/21/2018,Not_Canceled
