Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status
INN18146,2,0,0,2,Not Selected,0,Room_Type 1,1,Online,0,0,0,154.0,0,9/14/2018,Not_Canceled
INN18147,2,0,0,1,Not Selected,0,Room_Type 1,72,Online,0,0,0,79.2,2,12/27/2018,Not_Canceled
INN18148,2,0,2,5,Meal Plan 1,0,Room_Type 1,72,Online,0,0,0,76.5,0,7/22/2017,Canceled
INN18149,2,0,0,3,Meal Plan 1,0,Room_Type 1,56,Online,0,0,0,103.5,3,10/21/2017,Not_Canceled
INN18150,2,0,0,4,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,105.0,2,9/8/2017,Not_Canceled
INN18151,2,0,0,3,Meal Plan 1,0,Room_Type 1,142,Online,0,0,0,99.3,0,8/24/2018,Not_Canceled
INN18152,1,0,2,1,Meal Plan 2,0,Room_Type 1,110,Offline,0,0,0,36.25,0,7/25/2017,Not_Canceled
INN18153,1,2,1,3,Meal Plan 1,0,Room_Type 6,56,Online,0,0,0,154.71,0,6/20/2018,Canceled
INN18154,1,0,0,1,Meal Plan 1,0,Room_Type 1,34,Corporate,0,0,0,65.0,0,9/15/2017,Canceled
INN18155,2,0,0,2,Meal Plan 1,0,Room_Type 4,85,Offline,0,0,0,66.6,0,1/22/2018,Not_Canceled
INN18156,2,0,1,2,Meal Plan 1,0,Room_Type 1,79,Online,0,0,0,126.9,0,5/2/2018,Not_Canceled
INN18157,2,0,2,2,Meal Plan 1,0,Room_Type 1,38,Online,0,0,0,135.9,0,8/21/2018,Canceled
INN18158,2,0,1,1,Meal Plan 1,0,Room_Type 2,31,Online,0,0,0,81.9,1,3/14/2018,Not_Canceled
INN18159,2,0,0,4,Meal Plan 1,0,Room_Type 1,254,Online,0,0,0,92.28,1,10/12/2018,Canceled
INN18160,1,0,0,2,Not Selected,0,Room_Type 1,0,Online,0,0,0,51.3,0,11/27/2017,Not_Canceled
INN18161,1,0,6,12,Not Selected,0,Room_Type 1,102,Online,0,0,0,111.7,0,8/28/2018,Canceled
INN18162,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,147.0,0,9/22/2017,Not_Canceled
INN18163,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Offline,0,0,0,110.0,0,9/19/2018,Canceled
INN18164,2,1,0,2,Meal Plan 1,0,Room_Type 4,52,Online,0,0,0,148.91,2,12/29/2018,Not_Canceled
INN18165,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,Offline,0,0,0,120.0,0,6/12/2018,Canceled
INN18166,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,Corporate,1,0,1,65.0,0,10/27/2017,Not_Canceled
INN18167,2,0,0,5,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,88.4,1,11/15/2018,Not_Canceled
INN18168,2,0,0,2,Meal Plan 2,0,Room_Type 1,28,Offline,0,0,0,97.0,0,1/8/2018,Not_Canceled
INN18169,2,0,1,0,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,71.6,0,1/3/2018,Not_Canceled
