2024-06-09/11:31:26		Error occured while validating Filename module 're' has no attribute 'macth'
2024-06-09/11:31:45		Error occured while validating Filename [Errno 2] No such file or directory: 'Training_Data_Files/.git'
2024-06-09/11:37:48		Error occured while validating Filename [Errno 2] No such file or directory: 'Training_Data_Files/.git'
2024-06-09/11:38:24		Error occured while validating Filename [Errno 2] No such file or directory: 'Training_Raw_files_validated/Good_Raw'
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085611.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085612.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085613.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085614.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085615.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085616.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085617.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085618.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085619.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085620.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085621.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085622.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085623.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085624.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085625.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085626.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085627.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085628.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085629.csv
2024-06-09/11:39:15		Valid file name! File moved to GoodRaw Folder: booking_20240607_085630.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085611.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085612.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085613.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085614.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085615.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085616.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085617.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085618.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085619.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085620.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085621.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085622.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085623.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085624.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085625.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085626.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085627.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085628.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085629.csv
2024-06-09/11:40:30		Valid file name! File moved to GoodRaw Folder: booking_20240607_085630.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085611.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085612.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085613.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085614.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085615.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085616.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085617.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085618.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085619.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085620.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085621.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085622.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085623.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085624.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085625.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085626.csv
2024-06-09/11:43:50		Valid file name! File moved to GoodRaw Folder: booking_20240607_085627.csv
