Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status
INN19960,1,0,2,0,Meal Plan 1,0,Room_Type 1,42,Online,0,0,0,103.5,0,3/27/2018,Canceled
INN19961,2,1,0,2,Meal Plan 1,0,Room_Type 1,33,Online,0,0,0,125.1,2,5/24/2018,Not_Canceled
INN19962,2,0,2,2,Meal Plan 1,0,Room_Type 1,24,Offline,0,0,0,109.0,1,9/10/2018,Not_Canceled
INN19963,2,2,2,1,Meal Plan 1,0,Room_Type 6,16,Online,0,0,0,165.0,3,9/5/2017,Not_Canceled
INN19964,2,0,0,1,Not Selected,0,Room_Type 1,3,Online,0,0,0,60.83,1,2/13/2018,Not_Canceled
INN19965,2,0,2,2,Meal Plan 1,1,Room_Type 4,62,Online,0,0,0,118.8,1,7/24/2018,Not_Canceled
INN19966,1,0,1,0,Meal Plan 1,0,Room_Type 1,76,Offline,0,0,0,120.0,0,10/10/2018,Canceled
INN19967,3,0,2,3,Meal Plan 1,0,Room_Type 4,71,Online,0,0,0,124.95,2,4/23/2018,Not_Canceled
INN19968,1,0,2,3,Meal Plan 1,0,Room_Type 1,24,Corporate,0,0,0,95.0,1,5/8/2018,Not_Canceled
INN19969,2,0,1,1,Meal Plan 2,0,Room_Type 1,301,Offline,0,0,0,115.0,1,7/30/2018,Canceled
INN19970,2,0,0,2,Meal Plan 1,0,Room_Type 1,14,Corporate,0,0,0,105.0,0,7/21/2018,Not_Canceled
INN19971,1,0,0,1,Meal Plan 1,0,Room_Type 1,38,Corporate,0,0,0,79.0,0,2/25/2018,Canceled
INN19972,2,1,1,2,Meal Plan 1,0,Room_Type 1,149,Online,0,0,0,130.5,0,8/12/2018,Canceled
INN19973,2,0,2,1,Not Selected,0,Room_Type 1,79,Online,0,0,0,88.5,0,4/17/2018,Canceled
INN19974,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,Offline,0,0,0,36.38,0,10/8/2017,Not_Canceled
INN19975,1,0,0,1,Meal Plan 2,0,Room_Type 1,1,Offline,0,0,0,89.25,0,6/17/2018,Not_Canceled
INN19976,3,0,0,2,Meal Plan 1,0,Room_Type 1,239,Online,0,0,0,128.7,0,10/28/2018,Canceled
INN19977,1,0,1,0,Not Selected,0,Room_Type 1,6,Online,0,0,0,88.0,1,12/12/2018,Not_Canceled
INN19978,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,95.0,0,10/13/2018,Not_Canceled
INN19979,2,0,0,1,Not Selected,0,Room_Type 1,35,Online,0,0,0,89.1,1,6/21/2018,Canceled
INN19980,3,0,0,4,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,111.6,1,10/20/2017,Not_Canceled
INN19981,3,0,0,2,Meal Plan 1,0,Room_Type 4,93,Online,0,0,0,159.3,0,6/3/2018,Not_Canceled
INN19982,2,0,2,1,Meal Plan 1,0,Room_Type 1,244,Online,0,0,0,68.25,1,10/30/2018,Not_Canceled
INN19983,2,0,0,4,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,73.95,0,3/15/2018,Canceled
INN19984,2,2,1,2,Meal Plan 1,0,Room_Type 6,158,Online,0,0,0,168.3,1,7/1/2018,Canceled
INN19985,2,0,2,1,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,89.0,1,1/10/2018,Not_Canceled
INN19986,2,0,2,6,Meal Plan 1,0,Room_Type 1,44,Online,0,0,0,59.95,1,3/4/2018,Not_Canceled
INN19987,2,0,0,2,Not Selected,0,Room_Type 1,17,Online,0,0,0,135.0,1,10/7/2018,Canceled
INN19988,3,0,1,3,Meal Plan 1,0,Room_Type 4,104,Online,0,0,0,142.2,2,7/21/2018,Not_Canceled
INN19989,2,0,1,2,Not Selected,0,Room_Type 1,64,Online,0,0,0,51.97,1,3/11/2018,Not_Canceled
INN19990,2,0,0,1,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,130.0,2,8/20/2018,Not_Canceled
INN19991,1,0,0,2,Meal Plan 2,0,Room_Type 1,6,Online,0,0,0,0.0,0,12/10/2017,Not_Canceled
INN19992,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,Offline,0,0,0,120.0,0,6/12/2018,Canceled
INN19993,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,80.0,0,8/23/2017,Not_Canceled
INN19994,2,0,1,1,Meal Plan 1,0,Room_Type 2,3,Offline,0,0,0,37.5,1,12/21/2017,Not_Canceled
INN19995,2,0,1,1,Not Selected,0,Room_Type 1,67,Online,0,0,0,94.5,1,7/23/2018,Not_Canceled
INN19996,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,Corporate,0,0,0,31.0,1,2/26/2018,Not_Canceled
INN19997,2,1,0,1,Meal Plan 1,0,Room_Type 1,5,Online,0,0,0,110.0,3,2/12/2018,Not_Canceled
INN19998,2,0,2,3,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,89.59,1,11/27/2018,Not_Canceled
INN19999,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,Offline,0,0,0,110.0,0,11/1/2018,Canceled
INN20000,2,0,0,1,Meal Plan 1,0,Room_Type 4,0,Complementary,0,0,0,0.0,1,9/9/2018,Not_Canceled
INN20001,2,1,1,0,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,134.1,0,8/14/2018,Canceled
INN20002,2,0,1,1,Meal Plan 1,0,Room_Type 2,19,Online,0,0,0,86.75,1,12/26/2017,Not_Canceled
INN20003,2,0,1,2,Meal Plan 1,0,Room_Type 1,124,Online,0,0,0,117.1,1,5/13/2018,Not_Canceled
INN20004,2,0,1,3,Meal Plan 1,0,Room_Type 4,59,Online,0,0,0,82.45,0,3/10/2018,Canceled
INN20005,2,0,2,1,Meal Plan 1,0,Room_Type 1,205,Offline,0,0,0,90.0,0,5/29/2018,Canceled
INN20006,2,0,0,3,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,106.2,1,9/1/2018,Canceled
INN20007,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,Offline,0,0,0,120.0,0,6/20/2018,Canceled
INN20008,2,0,0,4,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,116.75,3,9/9/2017,Not_Canceled
INN20009,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,Corporate,1,1,3,67.0,1,11/24/2018,Not_Canceled
INN20010,3,0,1,4,Meal Plan 1,0,Room_Type 4,12,Online,0,0,0,161.0,0,3/30/2018,Canceled
INN20011,2,1,0,3,Meal Plan 2,0,Room_Type 1,79,Online,0,0,0,173.25,1,6/29/2018,Not_Canceled
INN20012,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,Offline,0,0,0,115.0,1,9/13/2018,Canceled
INN20013,2,0,0,4,Meal Plan 1,0,Room_Type 1,270,Offline,0,0,0,62.8,0,4/20/2018,Canceled
INN20014,2,0,2,1,Meal Plan 1,0,Room_Type 4,6,Online,0,0,0,136.0,1,10/4/2017,Not_Canceled
INN20015,2,0,0,5,Meal Plan 2,0,Room_Type 1,129,Online,0,0,0,100.8,1,3/29/2018,Not_Canceled
INN20016,1,0,1,2,Meal Plan 1,0,Room_Type 1,12,Online,0,0,0,90.0,1,8/31/2017,Not_Canceled
INN20017,1,0,2,1,Meal Plan 1,0,Room_Type 1,163,Offline,0,0,0,115.0,0,10/15/2018,Canceled
INN20018,1,0,2,2,Meal Plan 1,0,Room_Type 1,56,Online,0,0,0,63.75,0,3/12/2018,Canceled
INN20019,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,Offline,0,0,0,115.0,0,7/21/2018,Canceled
INN20020,2,0,0,2,Meal Plan 1,1,Room_Type 1,3,Online,0,0,0,131.0,2,12/28/2018,Not_Canceled
INN20021,2,0,0,4,Meal Plan 1,0,Room_Type 1,122,Online,0,0,0,99.45,0,5/3/2018,Not_Canceled
INN20022,1,0,1,0,Meal Plan 1,0,Room_Type 1,49,Online,0,0,0,121.5,1,5/9/2018,Not_Canceled
INN20023,2,0,0,3,Meal Plan 1,0,Room_Type 1,87,Online,0,0,0,105.3,1,3/24/2018,Canceled
INN20024,2,0,0,2,Not Selected,0,Room_Type 1,102,Online,0,0,0,94.5,1,7/26/2018,Canceled
INN20025,2,0,0,1,Not Selected,0,Room_Type 1,78,Online,0,0,0,116.1,1,5/7/2018,Not_Canceled
INN20026,2,0,2,5,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,112.0,0,10/31/2018,Not_Canceled
INN20027,2,0,2,1,Not Selected,0,Room_Type 1,241,Online,0,0,0,95.0,1,7/3/2018,Not_Canceled
INN20028,2,0,2,1,Meal Plan 1,0,Room_Type 1,275,Online,0,0,0,106.2,0,10/1/2018,Canceled
INN20029,2,2,0,2,Meal Plan 1,0,Room_Type 6,11,Online,0,0,0,248.0,2,9/20/2018,Not_Canceled
INN20030,2,0,0,4,Meal Plan 1,0,Room_Type 1,270,Offline,0,0,0,62.8,0,4/20/2018,Canceled
INN20031,2,0,1,5,Meal Plan 1,0,Room_Type 4,140,Online,0,0,0,116.45,0,7/4/2018,Canceled
INN20032,2,0,1,3,Meal Plan 1,0,Room_Type 1,33,Online,0,0,0,80.3,1,2/8/2018,Not_Canceled
INN20033,2,0,0,4,Meal Plan 1,0,Room_Type 1,36,Online,0,0,0,109.8,0,8/30/2018,Canceled
INN20034,2,0,0,2,Not Selected,1,Room_Type 1,62,Online,0,0,0,103.5,0,4/7/2018,Not_Canceled
